City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Nemuro,JP,43.3236,145.575,57.33,89,0,6.55,clear sky
264,Kavieng,PG,-2.5744,150.7967,81.23,79,100,11.34,light rain
265,Severnyy,RU,50.677,36.5532,59.04,100,0,6.71,clear sky
266,Srednekolymsk,RU,67.45,153.6833,48.04,51,0,8.61,clear sky
267,Thunder Bay,CA,48.4001,-89.3168,82.31,36,40,14.97,scattered clouds
268,San Angelo,US,31.4638,-100.437,98.82,39,0,12.66,clear sky
269,Faranah,GN,10.0404,-10.7434,70.75,98,76,4.34,light rain
270,Kismayo,SO,-0.3582,42.5454,75.07,83,35,18.77,light rain
271,Sorong,ID,-0.8833,131.25,78.04,89,14,10.58,few clouds
272,Burdur,TR,37.7203,30.2908,70.5,33,0,10.36,clear sky
273,Rock Sound,BS,24.9,-76.2,82.76,75,13,12.68,few clouds
274,Villa Carlos Paz,AR,-31.4241,-64.4978,63.9,26,100,8.01,overcast clouds
275,Klaksvik,FO,62.2266,-6.589,52.72,89,10,7.14,clear sky
276,Buala,SB,-8.145,159.5921,79.12,84,100,4.65,light rain
277,Hami,CN,42.8,93.45,74.53,25,0,2.21,clear sky
278,Ilebo,CD,-4.3167,20.5833,74.68,57,0,1.03,clear sky
279,Honningsvag,NO,70.9821,25.9704,56.95,94,100,2.3,light rain
280,Honiara,SB,-9.4333,159.95,75.88,79,24,4.21,few clouds
281,Olafsvik,IS,64.8945,-23.7142,53.44,83,33,6.44,scattered clouds
282,Horta,PT,38.5333,-28.6333,74.84,83,20,9.22,few clouds
283,Saint Anthony,US,45.0205,-93.218,86.76,36,0,14.97,clear sky
284,Moroni,KM,-11.7022,43.2551,74.08,77,3,6.13,clear sky
285,Tezu,IN,27.9167,96.1667,76.24,96,100,2.75,light rain
286,Beloha,MG,-25.1667,45.05,64.47,87,3,5.55,clear sky
287,Padang,ID,-0.9492,100.3543,77.05,88,81,3.87,light rain
288,Bundaberg,AU,-24.85,152.35,62.89,99,100,13.8,light rain
289,Nioro,GM,13.35,-15.75,77.76,90,100,6.11,moderate rain
290,Yuzhou,CN,34.1628,113.4639,77.22,84,98,3.69,overcast clouds
291,Myra,IT,45.4358,12.1348,86.47,53,0,5.75,clear sky
292,Nieuw Amsterdam,SR,5.8833,-55.0833,87.96,70,40,3.44,scattered clouds
293,Buraydah,SA,26.326,43.975,100.85,11,12,9.1,few clouds
294,Babu,CN,24.4167,111.5167,77.38,93,0,1.54,clear sky
295,Baykit,RU,61.67,96.37,54.88,89,45,2.59,scattered clouds
296,Robertsport,LR,6.7533,-11.3686,77.63,78,100,15.9,overcast clouds
297,Ribera,IT,37.4984,13.2642,81.61,55,0,5.26,clear sky
298,Yanliang,CN,34.6592,109.2292,68.99,87,100,9.66,overcast clouds
299,Aksay,RU,47.26,39.87,70.25,44,17,8.99,few clouds
300,Plastun,RU,44.7561,136.2939,61.03,99,100,4.63,overcast clouds
301,Baykalsk,RU,51.5058,104.1469,53.56,84,100,2.62,overcast clouds
302,Ekhabi,RU,53.5102,142.9671,54.43,93,100,11.56,overcast clouds
303,Wagga Wagga,AU,-35.1167,147.3667,47.84,87,2,8.32,clear sky
304,Stettler,CA,52.3168,-112.7186,75.74,46,64,9.22,broken clouds
305,Mayo,US,38.8876,-76.5119,95.95,63,0,6.91,clear sky
306,Caravelas,BR,-17.7125,-39.2481,72.9,77,2,5.73,clear sky
307,Itacarambi,BR,-15.1022,-44.0919,82.51,23,83,4.99,broken clouds
308,Nome,US,64.5011,-165.4064,46.47,87,100,9.22,overcast clouds
309,Toora-Khem,RU,52.4675,96.11,52.54,56,100,0.29,overcast clouds
310,Carroll,US,39.5501,-77.0164,94.08,50,90,5.99,overcast clouds
311,Meulaboh,ID,4.1363,96.1285,77.97,83,100,4.94,overcast clouds
312,Chongwe,ZM,-15.3292,28.682,61.88,58,65,6.4,broken clouds
313,Kununurra,AU,-15.7667,128.7333,64.09,32,8,4.18,clear sky
314,Taksimo,RU,56.3444,114.8794,60.76,83,100,2.59,overcast clouds
315,Biltine,TD,14.5333,20.9167,81.12,61,98,12.1,overcast clouds
316,Kutum,SD,14.2,24.6667,73.45,62,94,4.83,overcast clouds
317,Fairbanks,US,64.8378,-147.7164,61.61,65,100,3.44,overcast clouds
318,Garoua,CM,9.3,13.4,78.24,78,95,4.65,overcast clouds
319,Santa Cruz,BO,-17.8,-63.1667,86.05,42,75,25.32,broken clouds
320,Muros,ES,42.7762,-9.0603,70.09,81,93,14.7,overcast clouds
321,San Marco In Lamis,IT,41.7131,15.6399,74.32,39,0,1.07,clear sky
322,Paamiut,GL,61.994,-49.6678,45.75,88,9,8.66,clear sky
323,Pochutla,MX,15.7432,-96.4661,90.82,59,100,7.99,overcast clouds
324,Wodonga,AU,-36.1167,146.8833,42.96,100,6,5.66,clear sky
325,Lompoc,US,34.6391,-120.4579,92.01,68,0,16.11,clear sky
326,Kedgwick,CA,47.6446,-67.3434,86.52,51,98,11.77,overcast clouds
327,Mutoko,ZW,-17.397,32.2268,58.71,63,92,4.76,light rain
328,Chibuto,MZ,-24.6867,33.5306,63.54,79,7,5.3,clear sky
329,Margate,GB,51.3813,1.3862,65.89,76,21,5.01,few clouds
330,Havre-Saint-Pierre,CA,50.2334,-63.5986,75.56,46,75,8.05,broken clouds
331,Pedro Juan Caballero,PY,-22.5472,-55.7333,87.76,27,0,6.91,clear sky
332,Port Blair,IN,11.6667,92.75,79.41,87,100,6.71,light rain
333,Avila,ES,40.5833,-5.0,84.65,20,0,4.97,clear sky
334,Ayni,TJ,39.3941,68.5377,78.67,38,0,1.57,clear sky
335,Tiznit,MA,29.5833,-9.5,91.35,20,55,2.44,broken clouds
336,Les Cayes,HT,18.2,-73.75,86.45,65,22,12.86,few clouds
337,Solnechnyy,RU,50.7214,136.6319,57.52,96,100,7.31,overcast clouds
338,Beringovskiy,RU,63.05,179.3167,47.37,65,33,9.98,scattered clouds
339,Richards Bay,ZA,-28.783,32.0377,64.6,91,53,5.12,broken clouds
340,Umm Kaddadah,SD,13.6017,26.6876,78.17,56,100,0.89,overcast clouds
341,Saint-Max,FR,48.7043,6.21,78.82,54,0,6.91,clear sky
342,Bose,IT,45.4612,8.0137,83.79,42,0,4.74,clear sky
343,Flin Flon,CA,54.7682,-101.865,62.44,77,100,9.22,overcast clouds
