City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
186,Campos Gerais,-21.235,-45.7586,64.15,68,23,10.87,few clouds
187,Mehamn,71.0357,27.8492,57.15,88,75,6.91,broken clouds
188,Kysyl-Syr,63.8986,122.7617,67.77,90,100,7.07,light rain
189,Mahibadhoo,3.7833,72.9667,81.9,72,100,20.78,overcast clouds
190,Kovdor,67.5662,30.4758,53.26,92,12,2.51,few clouds
191,Yalta,44.5,34.1667,69.49,60,0,9.06,clear sky
192,Vila Velha,-20.3297,-40.2925,69.94,87,0,5.75,clear sky
193,Camocim,-2.9022,-40.8411,76.53,81,53,7.65,broken clouds
194,Policoro,40.2115,16.6726,74.59,45,0,4.05,clear sky
195,Atar,20.5169,-13.0499,85.89,47,18,11.43,few clouds
196,Narsaq,60.9167,-46.05,48.42,95,31,3.53,scattered clouds
197,Muli,2.9167,73.5667,81.12,75,100,16.28,light rain
198,Sitka,57.0531,-135.33,55.29,82,100,8.05,light rain
199,Klaksvik,62.2266,-6.589,49.12,92,94,18.72,overcast clouds
200,Gizo,-8.103,156.8419,83.07,71,32,3.58,scattered clouds
201,Yasnogorsk,54.4803,37.6975,51.93,98,100,6.96,overcast clouds
202,Ust-Maya,60.4167,134.5333,80.73,48,89,7.76,overcast clouds
203,Chikmagalur,13.3167,75.7833,65.48,96,71,4.76,broken clouds
204,Sioux Lookout,50.1001,-91.917,77.07,53,40,4.61,scattered clouds
205,Astoria,46.1879,-123.8313,71.6,77,0,9.22,clear sky
206,Ngaoundere,7.3167,13.5833,62.96,98,96,0.6,overcast clouds
207,Kyra,49.5776,111.9753,66.13,74,0,2.42,clear sky
208,Presidente Medici,-11.1753,-61.9014,74.17,41,0,1.23,clear sky
209,Zatoka,46.0725,30.4654,72.18,69,6,20.36,clear sky
210,Ust-Tsilma,65.441,52.1498,59.4,76,100,4.99,overcast clouds
211,Roebourne,-20.7833,117.1333,72.48,40,5,4.83,clear sky
212,Mar Del Plata,-38.0023,-57.5575,58.08,65,0,10.36,clear sky
213,Qaqortoq,60.7167,-46.0333,46.56,96,41,1.41,scattered clouds
214,Port Alfred,-33.5906,26.891,56.17,97,98,8.9,overcast clouds
215,Zhangjiakou,40.81,114.8794,78.13,48,0,2.42,clear sky
216,Nome,64.5011,-165.4064,47.16,87,100,8.05,moderate rain
217,Cherskiy,68.75,161.3,47.8,39,8,18.19,clear sky
218,Peniche,39.3558,-9.3811,67.28,91,12,14.41,few clouds
219,Robertsport,6.7533,-11.3686,76.5,79,100,15.48,light rain
220,Naze,28.3667,129.4833,85.12,80,83,17.18,broken clouds
221,Roshchino,60.2519,29.6085,60.01,73,100,11.14,overcast clouds
222,Nishihara,26.1842,127.7558,90.68,84,20,10.36,few clouds
223,Grand Gaube,-20.0064,57.6608,66.6,75,91,7.0,overcast clouds
224,Batouri,4.4333,14.3667,67.12,99,100,2.86,overcast clouds
225,La Ronge,55.1001,-105.2842,68.25,49,75,14.97,broken clouds
226,Moberly,39.4184,-92.4382,80.67,65,0,5.75,clear sky
227,Kallaste,58.655,27.1592,55.63,75,35,14.43,scattered clouds
228,Bambous Virieux,-20.3428,57.7575,66.45,82,75,12.66,light rain
229,Camacha,33.0833,-16.3333,67.42,73,75,11.5,broken clouds
230,Hamilton,39.1834,-84.5333,88.81,77,40,11.5,scattered clouds
231,Severo-Kurilsk,50.6789,156.125,52.65,97,99,12.93,light rain
232,Troitskoye,52.9821,84.6757,60.53,67,100,4.97,overcast clouds
233,Tiksi,71.6872,128.8694,40.6,83,12,22.03,few clouds
234,Berlevag,70.8578,29.0864,57.2,94,96,2.3,overcast clouds
235,Vardo,70.3705,31.1107,53.58,100,100,8.05,overcast clouds
236,Canutama,-6.5339,-64.3831,76.57,55,5,2.57,clear sky
237,Kassala,15.451,36.4,74.34,77,100,17.65,overcast clouds
238,Mount Isa,-20.7333,139.5,65.97,24,0,13.8,clear sky
239,Zaranj,30.9667,61.8833,89.08,17,0,19.08,clear sky
240,Soe,-9.8607,124.284,70.84,76,88,6.22,overcast clouds
241,Dunedin,-45.8742,170.5036,45.81,65,100,15.01,overcast clouds
242,Port Blair,11.6667,92.75,78.84,94,100,2.3,moderate rain
243,Komsomolskiy,40.4272,71.7189,77.72,36,0,6.91,clear sky
244,Vavuniya,8.7514,80.4971,76.66,87,49,5.68,scattered clouds
245,Aklavik,68.2191,-135.0107,65.97,46,100,10.74,overcast clouds
246,Saldanha,-33.0117,17.9442,51.51,69,0,8.05,clear sky
247,Sroda Wielkopolska,52.2284,17.2762,75.72,56,10,8.32,clear sky
248,Shasta Lake,40.6804,-122.3708,104.83,10,0,8.95,clear sky
249,Qaanaaq,77.484,-69.3632,39.99,84,100,4.5,overcast clouds
250,Dufftown,57.4333,-3.1333,56.39,80,43,4.74,scattered clouds
251,Fort Nelson,58.8053,-122.7002,74.79,33,75,8.05,broken clouds
252,Tshikapa,-6.4167,20.8,76.91,38,96,2.21,overcast clouds
253,Havre-Saint-Pierre,50.2334,-63.5986,68.0,68,0,6.91,clear sky
254,Shumskiy,54.8318,99.1328,64.36,61,8,5.39,clear sky
255,Iqaluit,63.7506,-68.5145,49.73,81,75,0.0,shower rain
256,Hirara,24.8,125.2833,89.46,79,40,10.36,scattered clouds
257,Formosa,-26.1775,-58.1781,73.38,78,0,9.22,clear sky
258,Harnosand,62.6323,17.9379,55.99,92,68,2.8,broken clouds
259,Itarema,-2.9248,-39.9167,76.73,78,44,11.18,scattered clouds
260,Gawler,-34.6,138.7333,60.98,66,11,13.62,few clouds
261,Bartica,6.4,-58.6167,77.32,98,100,1.92,overcast clouds
262,Kosino,58.4127,51.2782,51.08,93,13,1.01,few clouds
263,Rosario,-32.9468,-60.6393,61.99,77,0,1.14,clear sky
264,Rurrenabaque,-14.4413,-67.5278,73.71,72,32,1.3,scattered clouds
265,Skjervoy,70.0311,20.9714,59.0,79,54,10.4,broken clouds
266,Saint-Augustin,51.226,-58.6502,55.22,88,100,15.99,overcast clouds
267,Malmyzh,56.5205,50.6818,51.91,89,1,2.44,clear sky
268,Pahrump,36.2083,-115.9839,105.85,14,100,5.01,overcast clouds
269,Stornoway,58.2093,-6.3865,53.92,91,100,2.3,overcast clouds
270,Puerto Baquerizo Moreno,-0.9,-89.6,69.33,79,95,13.98,overcast clouds
271,Srednekolymsk,67.45,153.6833,54.97,53,56,5.19,broken clouds
272,Carlagan,14.975,122.0456,85.75,72,100,7.23,heavy intensity rain
273,Malaya Vishera,58.8454,32.2222,59.4,98,37,9.86,scattered clouds
274,Copiapo,-27.3667,-70.3333,49.69,61,100,2.39,overcast clouds
275,Berdigestyakh,62.0989,126.6992,74.35,69,76,3.0,light rain
276,Amambai,-23.1042,-55.2258,66.42,44,95,5.84,overcast clouds
277,Skibbereen,51.55,-9.2667,57.11,84,33,4.88,scattered clouds
278,Samarai,-10.6167,150.6667,82.89,73,5,13.35,clear sky
279,Encheng,22.1839,112.3026,87.35,72,19,7.92,few clouds
280,Saint-Georges,12.0564,-61.7485,78.48,89,20,5.75,few clouds
281,Portel,-1.9356,-50.8211,77.02,81,82,2.84,broken clouds
282,Fukaya,36.2,139.2833,84.72,56,100,2.89,light rain
283,Kyrksaeterora,63.2906,9.0891,59.13,99,100,3.38,light rain
284,Thompson,55.7435,-97.8558,64.56,82,75,8.05,broken clouds
285,Haines Junction,60.7522,-137.5108,54.48,55,91,6.11,overcast clouds
286,Port Moresby,-9.4431,147.1797,81.88,72,15,4.45,few clouds
287,Anaconda,46.1285,-112.9423,85.19,20,0,9.46,clear sky
288,Cabo San Lucas,22.8909,-109.9124,92.5,51,0,26.46,clear sky
289,Rio Gallegos,-51.6226,-69.2181,28.45,80,0,20.71,clear sky
290,Yenagoa,4.9247,6.2642,72.41,86,100,4.07,overcast clouds
291,Cairns,-16.9167,145.7667,81.1,68,75,12.66,broken clouds
292,Chara,56.9064,118.2631,68.88,73,87,1.34,light rain
293,Santa Marta,11.2408,-74.199,80.65,83,75,4.61,light intensity drizzle
294,Gbarnga,6.9956,-9.4722,68.02,98,100,1.77,light rain
295,Belen,36.4891,36.2233,71.74,65,0,6.91,clear sky
296,Utica,43.1009,-75.2327,83.7,65,89,1.01,overcast clouds
297,Belle Fourche,44.6714,-103.8522,88.5,23,0,13.8,clear sky
298,Talnakh,69.4865,88.3972,56.21,76,100,9.06,overcast clouds
299,Tondano,1.3038,124.9112,78.89,60,27,3.29,scattered clouds
300,Los Chiles,11.0333,-84.7167,74.35,96,100,4.59,overcast clouds
301,Kuminskiy,58.6667,66.5667,59.29,98,100,6.62,light rain
302,Santa Cruz,-17.8,-63.1667,71.06,78,14,6.91,few clouds
303,Barra Do Garcas,-15.89,-52.2567,70.34,39,6,1.97,clear sky
