City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Niquelandia,BR,86.58,scattered clouds,-14.4739,-48.4597,Hotel Suinã
650,Eureka,US,82.67,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
652,Santarem,BR,87.93,few clouds,-2.4431,-54.7083,Hotel Imperador
654,Bol,TD,80.64,overcast clouds,13.4586,14.7147,Harrouni camp de passage
655,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
659,Luau,AO,74.25,overcast clouds,-10.7073,22.2247,Kimbo Hotel
664,Lure,FR,70.97,clear sky,47.75,6.5,Gîte Les Tourbières Belmont
665,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
667,Marystown,CA,71.85,scattered clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
670,Bossangoa,CF,72.05,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
673,Bata,GQ,75.81,scattered clouds,1.8639,9.7658,Hotel Elik Melen
674,Palimbang,PH,77.49,overcast clouds,6.2106,124.1894,Felmar Beach resort
675,Sibolga,ID,76.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
677,Surt,LY,79.57,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
679,Bubaque,GW,78.76,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
680,Kuusankoski,FI,72.12,clear sky,60.907,26.6244,Hotel Sommelo
681,Namatanai,PG,78.58,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
682,Tatawin,TN,80.69,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
683,Tual,ID,78.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
684,Bembereke,BJ,71.71,light rain,10.2283,2.6634,Hotel Bio Guera
687,Bima,ID,72.19,broken clouds,-8.4667,118.7167,Lambitu Hotel
